    ονομασία     | Ελάχιστη θερμοκρασία (min) | Ελάχιστη θερμοκρασία (max) | Mέγιστη θερμοκρασία (min) | Mέγιστη θερμοκρασία (max) | Μέγιστη υγρασία (min) | Μέγιστη υγρασία (max) | Ελάχιστη υγρασία (min) | Ελάχιστη υγρασία (max) | Ημερήσια βροχόπτωση (min) | Ημερήσια βροχόπτωση (max) | Μέση ταχύτητα ανέμου (min) | Μέση ταχύτητα ανέμου (max) | Μέγιστη ριπή ανέμου (min) | Μέγιστη ριπή ανέμου (max) 
 sparti          |                       14.3 |                       14.3 |                      19.1 |                      19.1 |                    75 |                    75 |                     37 |                     37 |                       0.2 |                       0.2 |                       13.2 |                       13.2 |                      59.5 |                      59.5
 tanagra         |                       13.6 |                       13.6 |                      18.4 |                      18.4 |                    74 |                    74 |                     51 |                     51 |                         0 |                         0 |                       22.3 |                       22.3 |                      69.2 |                      69.2
 thessaloniki    |                       11.9 |                       11.9 |                      17.8 |                      17.8 |                    84 |                    84 |                     65 |                     65 |                         0 |                         0 |                       10.8 |                       10.8 |                      51.5 |                      51.5
 tinos           |                       11.2 |                       11.2 |                      21.7 |                      21.7 |                    81 |                    81 |                     31 |                     31 |                         0 |                         0 |                       21.3 |                       21.3 |                      78.9 |                      78.9
 trikala         |                       12.5 |                       12.5 |                      20.8 |                      20.8 |                    81 |                    81 |                     40 |                     40 |                         0 |                         0 |                        9.9 |                        9.9 |                      48.3 |                      48.3
 tripoli         |                       10.7 |                       10.7 |                        18 |                        18 |                    81 |                    81 |                     30 |                     30 |                         0 |                         0 |                          9 |                          9 |                      72.4 |                      72.4
 veroia          |                       15.7 |                       15.7 |                      22.9 |                      22.9 |                    81 |                    81 |                     17 |                     17 |                         0 |                         0 |                       22.2 |                       22.2 |                      83.7 |                      83.7
 volos           |                       14.2 |                       14.2 |                      23.2 |                      23.2 |                    82 |                    82 |                     44 |                     44 |                         0 |                         0 |                       11.5 |                       11.5 |                      53.1 |                      53.1
 xanthi          |                       16.2 |                       16.2 |                      22.5 |                      22.5 |                    78 |                    78 |                     40 |                     40 |                         0 |                         0 |                        8.7 |                        8.7 |                      54.7 |                      54.7
(53 rows)

